run_accession	fastq_ftp	fastq_bytes	fastq_md5	bam_ftp	bam_bytes	bam_md5	submitted_ftp	submitted_bytes	submitted_md5	sra_ftp	sra_bytes	sra_md5
SRR10245336	ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/036/SRR10245336/SRR10245336_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/036/SRR10245336/SRR10245336_2.fastq.gz	29074938;50061237	b548a62da025c70baa769e0b58411300;931c92b6508a89af5be9a83a17fbc6a4									
SRR10245338	ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/038/SRR10245338/SRR10245338_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/038/SRR10245338/SRR10245338_2.fastq.gz	3436851;4416661	c2c30f6f98f6fb4346500249e16a583b;35b702fa3e6b9f3b2b32ac289abc4505									
SRR10245340	ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/040/SRR10245340/SRR10245340_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/040/SRR10245340/SRR10245340_2.fastq.gz	21060341;37420502	448f298d6ebaee77639f7bbba8f9b103;51e9cf9347cc205e692bbce51a153b56									
SRR10245341	ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/041/SRR10245341/SRR10245341_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/041/SRR10245341/SRR10245341_2.fastq.gz	62796475;74641714	40962d8128325551da908598b21fad71;a4279a78a31eb8ec34fe6bf5dc005170									
SRR10245347	ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/047/SRR10245347/SRR10245347_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/047/SRR10245347/SRR10245347_2.fastq.gz	44109769;53960108	a3cf37a04e0f66f801c86931087543c3;8917dfaa550ee3b4fadb2b9998d6bd51									
SRR7450707	ftp.sra.ebi.ac.uk/vol1/fastq/SRR745/007/SRR7450707/SRR7450707_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR745/007/SRR7450707/SRR7450707_2.fastq.gz	20767465;23052352	a05f1826a0ff653916728fb92887257f;fa177f09979550d2dc38be018b5f1f19									
SRR7450712	ftp.sra.ebi.ac.uk/vol1/fastq/SRR745/002/SRR7450712/SRR7450712_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR745/002/SRR7450712/SRR7450712_2.fastq.gz	15728176;15852607	70381b714511ef720dc217e788beae6f;65b7480cf4e3fd459510ef84a247e347									
SRR7450713	ftp.sra.ebi.ac.uk/vol1/fastq/SRR745/003/SRR7450713/SRR7450713_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR745/003/SRR7450713/SRR7450713_2.fastq.gz	43040617;42482553	a834618b50496ed4710112d640a3d01a;05ca8230749f5e7f5cd3996fa1257d01									
SRR7450721	ftp.sra.ebi.ac.uk/vol1/fastq/SRR745/001/SRR7450721/SRR7450721_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR745/001/SRR7450721/SRR7450721_2.fastq.gz	11572273;11591161	afdc5f9eb79b4002464b9dfdeeb1d84b;d8f1950508b5f4a2c55f24e898730f66									
SRR7450724	ftp.sra.ebi.ac.uk/vol1/fastq/SRR745/004/SRR7450724/SRR7450724_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR745/004/SRR7450724/SRR7450724_2.fastq.gz	18373218;19717846	1f38ece4ad6b79ba3812bcc1f43c565e;6874e612d208fe5fcff45dafd211562d									
SRR7450728	ftp.sra.ebi.ac.uk/vol1/fastq/SRR745/008/SRR7450728/SRR7450728_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR745/008/SRR7450728/SRR7450728_2.fastq.gz	4646779;5873656	9523f0b3e670ae035fdb01d903ef5407;60765b16cef7b58814b24d3db684bcf8									
SRR7450730	ftp.sra.ebi.ac.uk/vol1/fastq/SRR745/000/SRR7450730/SRR7450730_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR745/000/SRR7450730/SRR7450730_2.fastq.gz	5161897;6622811	e0a5d698a5c5ce49781a6f3eea7d27a8;0b4f608138d77a0e8ccba28b0cdc5ae1									
SRR7450731	ftp.sra.ebi.ac.uk/vol1/fastq/SRR745/001/SRR7450731/SRR7450731_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR745/001/SRR7450731/SRR7450731_2.fastq.gz	4639028;6031157	621bdfbfaaeaa3c0ee94eedc27b7847e;bb89bb3c051319f4bde05e94f32ebf82									
SRR7450732	ftp.sra.ebi.ac.uk/vol1/fastq/SRR745/002/SRR7450732/SRR7450732_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR745/002/SRR7450732/SRR7450732_2.fastq.gz	4226935;5120694	8c769451d4c5f1210de2c9fc750613cb;1acea722d088f4247682f5777ca8a505									
SRR7450737	ftp.sra.ebi.ac.uk/vol1/fastq/SRR745/007/SRR7450737/SRR7450737_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR745/007/SRR7450737/SRR7450737_2.fastq.gz	5846827;7450591	64e3df507a4cf5d3471f131286f60b50;46f6ebf325f002552784301e079da2f8									
SRR7450742	ftp.sra.ebi.ac.uk/vol1/fastq/SRR745/002/SRR7450742/SRR7450742_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR745/002/SRR7450742/SRR7450742_2.fastq.gz	7175300;8522776	3b9759c4965c960c6c778eebaaddeed1;a0372181d993d89390d72e14d630e3b5									
SRR7450744	ftp.sra.ebi.ac.uk/vol1/fastq/SRR745/004/SRR7450744/SRR7450744_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR745/004/SRR7450744/SRR7450744_2.fastq.gz	4594758;5859859	26b04b1883aa78337953df71bec3450f;1bfae96335eb96dad99ccba4f36551e8									
SRR7450748	ftp.sra.ebi.ac.uk/vol1/fastq/SRR745/008/SRR7450748/SRR7450748_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR745/008/SRR7450748/SRR7450748_2.fastq.gz	17118467;17264018	a232c54395a528b1e9d1d1ed0a0de6f1;51c2d63493f3954f2eddcc95c7f0f5a1									
SRR7450749	ftp.sra.ebi.ac.uk/vol1/fastq/SRR745/009/SRR7450749/SRR7450749_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR745/009/SRR7450749/SRR7450749_2.fastq.gz	25784124;27097803	de81536ab763826bf2103d5c6e4c1424;83960847089697fd5ba8cc546d270ffe									
SRR7450752	ftp.sra.ebi.ac.uk/vol1/fastq/SRR745/002/SRR7450752/SRR7450752_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR745/002/SRR7450752/SRR7450752_2.fastq.gz	2714403;3312127	ad6f4ee1bb6faf2ea31851ac5385a9d4;8c9558267dde62336570b1b5a0e63ac5									
SRR7450753	ftp.sra.ebi.ac.uk/vol1/fastq/SRR745/003/SRR7450753/SRR7450753_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR745/003/SRR7450753/SRR7450753_2.fastq.gz	1842628;2155251	85ccc7f80956815f37e1a18885b06616;c0004e427311a7804fecebc4a28f761a									
SRR7450755	ftp.sra.ebi.ac.uk/vol1/fastq/SRR745/005/SRR7450755/SRR7450755_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR745/005/SRR7450755/SRR7450755_2.fastq.gz	2426400;3106223	a617753e7e976b947f63f9524355e9e9;7607092d1636cc3274ea0869101a86d4									
SRR7450756	ftp.sra.ebi.ac.uk/vol1/fastq/SRR745/006/SRR7450756/SRR7450756_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR745/006/SRR7450756/SRR7450756_2.fastq.gz	6160825;7390719	336dd11100a7dcf53eb5ad11c5d8a399;5c79c901ce868869202f0ac5a68cc9a7									
SRR10245278	ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/078/SRR10245278/SRR10245278_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/078/SRR10245278/SRR10245278_2.fastq.gz	72171636;83561548	f538116f70f7bf0bf14ee688a8063d29;7dff90409d2d0c6c1b128f0548c7a570									
SRR7450757	ftp.sra.ebi.ac.uk/vol1/fastq/SRR745/007/SRR7450757/SRR7450757_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR745/007/SRR7450757/SRR7450757_2.fastq.gz	3563664;4735024	b6fed179bf18044572829a15aac4fb20;8e9a11adab1e5996705585fd80aae6f7									
SRR10245279	ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/079/SRR10245279/SRR10245279_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/079/SRR10245279/SRR10245279_2.fastq.gz	38977909;46819235	d13982ccc6ae2cfcffd2ad9998f568a4;4176e18a5014c2192c84e96474f37a38									
